# Sentences appearing in many DISTINCT patents, with the vocabulary they carry.
# Each passage is ONE attestation regardless of how many documents repeat it.
# docs	n_terms	terms	passage
23	2	contain,primary	advantageously, the perfume used in the invention does not contain any primary alcohols and contains less than 15% of secondary and tertiary alcohols.
23	2	base,cleaning	as used herein, “consumer product base” means a composition for use as a consumer product to fulfill specific actions, such as cleaning, softening, and caring or the like.
23	2	activity,decrease	as used herein, a “pest control agent” indicates a substance that serves to repel or attract pests, to decrease, inhibit or promote their growth, development or their activity.
23	2	care,water	body care compositions include cosmetic compositions and products for oral and dental hygiene, and can be selected from after-shaves, pre-shave products, splash colognes, solid and liquid soaps, shower gels, shampoos, shaving soaps, shaving foams, bath oils, cosmetic emulsions of the oil-in-water type, of the water-in-oil type and of the water-in-oil-in-water type, such as e.g.
23	2	care,group	the personal care composition is preferably chosen in the group consisting of a hair-care product (e.g.
23	2	particularly,performance	suitable techniques include chromatography such as high performance liquid chromatography, referred to as hplc, and particularly gel chromatography and solid phase microextraction, referred to as spme.
15	3	possible,stability,water	the possible shell materials vary widely in their stability toward water.
15	3	based,neutral,relatively	microcapsules that are based on urea-formaldehyde and/or melamine-formaldehyde are relatively stable, especially in near neutral aqueous-based solutions.
15	3	fatty,hydrophobic,raw	non-limiting examples of such organic materials include but are not limited to hydrophobic materials such as organic oils, waxes, mineral oils, petrolatum, fatty acids or esters, sugars, surfactants, liposomes and even other perfume raw material (perfume oils), as well as natural oils, including body and/or other soils.
15	3	art,chemicals,formulations	those with skill in the art will appreciate that many formulations can be created employing various solvents and fragrance chemicals.
15	3	acid,fatty,optionally	esters of polybasic, optionally hydroxy-substituted carboxylic acids with fatty alcohols containing 6 to 22 carbon atoms, especially long-chain esters of tartaric acid;
15	3	called,group,particularly	particularly suitable zwitterionic surfactants are the so-called betaines, such as the n-alkyl-n,n-dimethyl ammonium glycinates, for example cocoalkyl dimethyl ammonium glycinate, n-acylaminopropyl-n,n-dimethyl ammonium glycinates, for example cocoacylaminopropyl dimethyl ammonium glycinate, and 2-alkyl-3-carboxymethyl-3-hydroxyethyl imidazolines containing 8 to 18 carbon atoms in the alkyl or acyl group and cocoacylaminoethyl hydroxyethyl carboxymethyl glycinate.
15	3	intended,sufficient,usually	the spacer is usually a hydrocarbon chain that is intended to be long enough such that the hydrophilic groups are a sufficient distance apart to be able to act independently of one another.
15	3	concentration,generally,water	these types of surfactants are generally characterized by an unusually low critical micelle concentration and the ability to strongly reduce the surface tension of water.
15	3	acetate,alcohol,ethyl	low molecular weight polar substances, such as for example, methanol, ethanol, propylene carbonate, acetone, acetonylacetone, diacetone alcohol, ethyl acetate, 2-propanol, ethylene glycol, propylene glycol, glycerin, diethylene glycol, dipropylene glycol monomethyl ether and dimethylformamide or their mixtures are preferred.
15	3	group,particularly,superior	by virtue of their superior solubility, preferred representatives of this group are again the short-chain polyacrylates, which have molecular weights of 2,000 to 10,000 g/mol and, more particularly, 3,000 to 5,000 g/mol.
15	3	fatty,origin,synthetic	suitable foam inhibitors include for example, soaps of natural or synthetic origin, which have a high content of c 18 -c 24 fatty acids.
15	3	defined,optionally,powder	c) optionally perfume powder that is different from the microcapsules defined above.
15	3	effect,effective,effects	as used herein olfactory effective amount is understood to mean the amount of compound in perfume compositions the individual component will contribute to its particular olfactory characteristics, but the olfactory effect of the fragrance composition will be the sum of the effects of each of the fragrance ingredients.
22	2	contain,water	they can contain no water to limit the water content as low as less than 30% (e.g., less than 20%, less than 10%, and less than 5%).
22	2	adding,formulation	to 100% a typical procedure for preparing the formulation includes the steps of (i) mixing by a blender according to the foregoing formulation to provide a toothpaste, and (ii) adding a composition of this invention and blending the resultant mixture till homogeneous.
22	2	active,malodor	the active material is a fragrance, malodor counteractant or mixture thereof.
22	2	care,cleaning	suitable compositions are for example perfume compositions, body care compositions (including cosmetic compositions and products for oral and dental hygiene), hygiene articles, cleaning compositions (including dishwashing compositions), textile detergent compositions, compositions for scent dispensers, foods, food supplements, pharmaceutical compositions and crop protection compositions.
22	2	active,hydrophobic	according to a particular embodiment, the hydrophobic material is free of any active ingredient (such as perfume).
43	1	comprise	liquors that may comprise the disclosed compositions may have a ph of from about 3 to about 11.5.
43	1	acetate	4,7-methanooctahydro-5 or 6-indenyl acetate;
43	1	group	individual fragrances from the group of hydrocarbons, such as e.g.
43	1	care	an air care product, such as an air freshener or a “ready to use” powdered air freshener which can be used in the home space (rooms, refrigerators, cupboards, shoes or car) and/or in a public space (halls, hotels, malls, etc.);
43	1	since	since then, many other authors have enriched the literature in this field and it would be impossible to cover all published developments here, but the general knowledge in encapsulation technology is very significant.
42	1	effect	the olfactory acceptable amount may vary depending on many factors including other ingredients, their relative amounts and the olfactory effect that is desired.
21	2	intended,otherwise	instead, unless otherwise specified, each such dimension is intended to mean both the recited value and functionally equivalent range surrounding that value.
21	2	base,generally	generally speaking, by “perfumery base” we mean here a composition comprising at least one perfuming co-ingredient.
21	2	acid,fatty	fatty acids, such as stearic acid, hydroxystearic acid or behenic acid, ring opening products of olefin epoxides containing 12 to 22 carbon atoms with fatty alcohols containing 12 to 22 carbon atoms and/or polyols containing 2 to 15 carbon atoms and 2 to 10 hydroxyl groups and mixtures thereof.
21	2	group,optionally	group 3: perfuming ingredients comprising a phenyl ring or perfuming ingredients comprising a cyclohexane, cyclohexene, cyclohexanone or cyclohexenone ring substituted with at least one linear or branched c 5 to c 8 alkyl or alkenyl substituent or with at least one phenyl substituent and optionally one or more linear or branched c 1 to c 3 alkyl or alkenyl substituents;
21	2	cationic,composed	capsules composed of cationic melamine-formaldehyde condensates as disclosed in u.s.
21	2	deodorants,effects	(b) cosmetic products with specific effects, especially sunscreens, tanning products, de-pigmenting products, deodorants, antiperspirants, hair removers, and shaving products;
21	2	powder,washing	textile detergent compositions can be selected from liquid detergents, powder detergents, laundry pretreatments such as bleaches, soaking agents and stain removers, fabric softeners, washing soaps, washing tablets.
21	2	fresheners,make	eye-liners, eye-shadows, nail varnishes, make-ups, lipsticks and mascara, and products for oral and dental hygiene, such as toothpaste, dental floss, mouth wash, breath fresheners, dental foam, dental gels and dental strips.
21	2	active,group	(ii) an active ingredient, preferably chosen in the group consisting of a cosmetic ingredient, skin caring ingredient, perfume ingredient, flavor ingredient, malodour counteracting ingredient, bactericide ingredient, fungicide ingredient, pharmaceutical or agrochemical ingredient, a sanitizing ingredient, an insect repellent or attractant, and mixtures thereof.
21	2	art,thereby	those with skill in the art will recognize that some of the compounds of the present invention have a number of chiral centers, thereby providing numerous isomers of the claimed compounds.
41	1	defined	more preferably the perfume comprises less than 20% and even more preferably less than 10% of solvent, all these percentages being defined by weight relative to the total weight of the perfume.
41	1	care	a car care product, such as a polish, a wax or a plastic cleaner.
20	2	cleaning,formulations	flick, advanced cleaning product formulations, noye publication, park ridge, n.j.
20	2	achieve,target	note that salt is an adjustable ingredient, higher or lower levels may be added to achieve target viscosity.
40	1	rate	in general such solid carriers are employed either to stabilize the composition, or to control the rate of evaporation of the compositions or of some ingredients.
20	2	based,case	for example, in the case of perfuming compositions, typical concentrations are in the order of 0.001% to 10% by weight, or even more, of the compounds of the invention based on the weight of the composition into which they are incorporated.
20	2	formulations,particularly	such formulations according to the invention are particularly suitable for protecting the skin and hair.
20	2	alcohol,synthetic	typical synthetic perfume compounds are products of the ester, ether, aldehyde, ketone, alcohol and hydrocarbon type.
20	2	relatively,volatility	other suitable perfume oils are essential oils of relatively low volatility which are mostly used as aroma components.
20	2	form,formulations	the formulations according to the invention are preferably in the form of an emulsion, e.g.
20	2	care,make	temporary direct-dyeing hair dye, semi-permanent hair dye, permanent hair dye, hair conditioner, hair mousse, eye care product, make-up, make-up remover or baby product.
20	2	based,formulation	auxiliary substances and additives can be included in quantities of 5 to 99% b.w., preferably 10 to 80% b.w., based on the total weight of the formulation.
20	2	particles,specifically	for the sake of clarity, by the expression “dispersion” in the present invention it is meant a system in which particles are dispersed in a continuous phase of a different composition and it specifically includes a suspension or an emulsion.
20	2	background,water	the measurement is initiated by putting the sensor into a cold state by flushing with water until background counts are less than 100.
20	2	group,non-ionic	preferred non-ionic polysaccharides are selected from the group consisting of locust bean gum, xyloglucan, guar gum, hydroxypropyl guar, hydroxypropyl cellulose and hydroxypropyl methyl cellulose.
20	2	detectable,form	this means that the indicated material is at the very minimum not deliberately added to the composition to form part of it, or, preferably, is not present at analytically detectable levels.
20	2	cationic,non-ionic	the surfactant(s) may be selected from anionic, non-ionic, cationic and/or amphoteric or zwitterionic surfactants.
40	1	found	another source of suitable fragrances is found in perfumes, cosmetics and soaps, second edition, edited by w.
20	2	application,intended	detailed description of the invention the following detailed description of the invention is merely exemplary in nature and is not intended to limit the invention or the application and uses of the invention.
39	1	aromatic	the aromatic and araliphatic aldehydes such as e.g.
39	1	aromatic	the aromatic and araliphatic ketones such as e.g.
39	1	aromatic	the nitrogen-containing aromatic compounds such as e.g.
39	1	ethyl	examples of such solvents are diethyl phthalate, isopropyl myristate, abalyn® (rosin resins, available from eastman), benzyl benzoate, ethyl citrate, limonene or other terpenes, or isoparaffins.
39	1	application	description cross-reference to related applications this application is a u.s.
38	1	water	and, when the situs comprises a fabric, the water to fabric ratio is typically from about 1:1 to about 30:1.
19	2	against,effects	stabilisers against the detrimental effects of heat and light, bulking agents, acidulants, buffering agents and antioxidants.
19	2	chemicals,pfw	10 trade name of pfw aroma chemicals b.v., the netherlands.
19	2	aldehydic,formulations	in particular one may cite perfuming co-ingredients which are commonly used in perfume formulations, such as: aldehydic ingredients: decanal, dodecanal, 2-methyl-undecanal, 10-undecenal, octanal and/or nonenal;
38	1	aromatic	the term “aromatic polyisocyanate” is meant here as encompassing any polyisocyanate comprising an aromatic moiety.
19	2	extremely,moderate	and (ii) level of complexity, where 0=none, 1=very low, 5=moderate, 10=extremely high.
19	2	art,preparation	the preparation of an aqueous dispersion/slurry of core-shell microcapsules is well known by a skilled person in the art.
19	2	advantageous,pigments	advantageous inorganic secondary light protection pigments are finely dispersed metal oxides and metal salts which are also mentioned in wo 2005 123101 a1.
19	2	acid,fatty	in oil (fatty oils or fatty acid esters, in particular c 6 -c 32 fatty acid c 2 -c 30 esters) or silicone oil, dispersion, suspension, creme, lotion or milk, depending on the production method and ingredients, a gel (including hydrogel, hydrodispersion gel, oleogel), spray (e.g.
38	1	acetate	4,7-methanooctahydro-5, or 6-indenyl acetate;
19	2	aspects,defined	the following description of example embodiments is, therefore, not to be taken in a limited sense, and the scope of the various aspects presented herein is defined by the appended claims.
19	2	otherwise,specifically	in all embodiments of the present disclosure, all percentages are by weight of the total composition, unless specifically stated otherwise.
19	2	intended,provided	examples the examples provided below are intended to be illustrative in nature and are not intended to be limiting.
19	2	art,form	furthermore, while some embodiments described herein include some, but not other features included in other embodiments, combinations of features of different embodiments are meant to be within the scope of the subject matter, and form different embodiments, as would be understood by those in the art.
37	1	solution	such compositions are typically employed at concentrations of from about 500 ppm to about 15,000 ppm in solution.
37	1	acid	partial glycerides, especially stearic acid monoglyceride;
37	1	background	description background of the invention 1.
37	1	neutral	by “perfumery carrier” it is meant here a material which is practically neutral from a perfumery point of view, i.e.
37	1	cleaning	a floor, bath, sanitary or a window-cleaning) detergent;
37	1	art	those with skill in the art will be able to employ the desired level of the compounds of the invention to provide the desired fragrance and intensity.
36	1	intended	processed food products intended primarily for consumption between customary meals or as a meal accompaniment (non-limiting examples include potato chips, tortilla chips, popcorn, pretzels, corn chips, cereal bars, vegetable chips or crisps, snack mixes, party mixes, multigrain chips, snack crackers, cheese snacks, pork rinds, corn snacks, pellet snacks, extruded snacks and bagel chips);
36	1	water	the enzymes employed herein can be stabilized by the presence of water-soluble sources of calcium and/or magnesium ions in the finished compositions that provide such ions to the enzymes.
36	1	application	description cross-reference to related applications this application is a national stage application (under 35 u.s.c.
18	2	acetate,ethyl	xvi) esters of cycloaliphatic carboxylic acids, such as, for example, allyl 3-cyclohexyl-propionate, allyl cyclohexyl oxyacetate, methyl dihydrojasmonate, methyl jasmonate, methyl 2-hexyl-3-oxocyclopentanecarboxylate, ethyl 2-ethyl-6,6-dimethyl-2-cyclohexenecarboxylate, ethyl 2,3,6,6-tetramethyl-2-cyclohexenecarboxylate, ethyl 2-methyl-1,3-dioxolane-2-acetate;
18	2	acetate,ethyl	xxiii) phenols, phenyl ethers and phenyl esters, such as, for example, estragole, anethole, eugenol, eugenyl methyl ether, isoeugenol, isoeugenol methyl ether, thymol, carvacrol, diphenyl ether, beta-naphthyl methyl ether, beta-naphthyl ethyl ether, beta-naphthyl isobutyl ether, 1,4-dimethoxybenzene, eugenyl acetate, 2-methoxy-4-methylphenol, 2-ethoxy-5-(1-propenyl)phenol, p-cresyl phenylacetate;
18	2	cationic,group	another group of polymers that can be used to improve capsule/particle deposition are phospholipids that are modified with cationic polysiloxanes.
36	1	art	a detailed description of the nature and type of adjuvant commonly used in perfuming composition cannot be exhaustive, but it has to be mentioned that said ingredients are well known to a person skilled in the art.
36	1	alcohol	cinnamic alcohol ((e)-3-phenylprop-2-en-1-ol);
36	1	form	according to any one of the above embodiments said perfume oil can be a perfuming ingredient alone or a mixture of ingredients in the form of a perfuming composition.
18	2	modulating,primary	as a “perfuming ingredient” it is meant here a compound, which is used for the primary purpose of conferring or modulating an odour.
18	2	acid,fatty	superfatting agents and consistency factors superfatting agents may be selected from such substances as, for example, lanolin and lecithin and also polyethoxylated or acylated lanolin and lecithin derivatives, polyol fatty acid esters, monoglycerides and fatty acid alkanolamides, the fatty acid alkanolamides also serving as foam stabilizers.
18	2	acetate,ethyl	examples of perfume compounds of the ester type are benzyl acetate, phenoxyethyl isobutyrate, p-tert.butyl cyclohexylacetate, linalyl acetate, dimethyl benzyl carbinyl acetate, phenyl ethyl acetate, linalyl benzoate, benzyl formate, ethylmethyl phenyl glycinate, allyl cyclohexyl propionate, styrallyl propionate and benzyl salicylate.
18	2	solution,water	w/o (water-in-oil), o/w (oil-in-water), w/o/w (water-in-oil-in-water), o/w/o (oil-in-water-in-oil) emulsion, pit emulsion, pickering emulsion, emulsion with a low oil content, micro- or nanoemulsion, a solution, e.g.
18	2	dry,water	shampoo (including 2-in-1 shampoo, anti-dandruff shampoo, baby shampoo, shampoo for dry scalps, concentrated shampoo), conditioner, hair tonic, hair water, hair rinse, styling creme, pomade, perm and setting lotion, hair spray, styling aid (e.g.
18	2	final,particularly	the molar ratio of mono and dicarboxylic acids in the final esterquat may be in the range from 1:99 to 99:1 and is preferably in the range from 50:50 to 90:10 and more particularly in the range from 70:30 to 80:20.
18	2	corresponding,fatty	the esterquats may be obtained both from fatty acids and from the corresponding triglycerides in admixture with the corresponding dicarboxylic acids.
18	2	average,technical	the preferred esterquats are technical mixtures of mono-, di- and triesters with an average degree of esterification of 1.5 to 1.9.
18	2	application,otherwise	every document cited herein, including any cross referenced or related patent or application and any patent application or patent to which this application claims priority or benefit thereof, is hereby incorporated herein by reference in its entirety unless expressly excluded or otherwise limited.
18	2	based,wood	however by way of non-limiting example of solid carriers, one may cite absorbing gums or polymers or inorganic material, such as porous polymers, cyclodextrins, wood based materials, organic or inorganic gels, clays, gypsum talc or zeolites.
18	2	acid,alcohol	polyvinyl alcohol crosslinked with boric acid;
18	2	art,cationic	cationic polymers are also well known to a person skilled in the art.
18	2	chemicals,synthetic	arctander, perfume and flavor chemicals, 1969, montclair, n.j., usa, or its more recent versions, or in other works of similar nature such as fenaroli&#39;s handbook of flavor ingredients, 1975, crc press or synthetic food adjuncts, 1947, by m.
18	2	changes,intended	it is therefore intended to cover in the appended claims all such changes and modifications that are within the scope of this disclosure.
18	2	group,hydrophobic	according to this particular embodiment, it comprises, preferably consists of hydrophobic solvents, preferably chosen in the group consisting of isopropyl myristate, tryglycerides (e.g.
35	1	retention	a panelist sniffs the gc effluent and identifies the retention time when odor is noticed.
35	1	formulation	the fragrance formulation of the present invention is a consumer composition comprising a compound of the present invention.
35	1	acid	formaldehyde, 2,2-dimethoxyethanal, glyoxal, glyoxylic acid or glycolaldehyde and mixtures thereof) with an amine such as urea, benzoguanamine, glycoluryl, melamine, methylol melamine, methylated methylol melamine, guanazole and the like, as well as mixtures thereof.
35	1	rose	rose oxide (4-methyl-2-(2-methylprop-1-en-1-yl)tetrahydro-2h-pyran);
35	1	hydrophobic	preferably, the solvent is very hydrophobic and highly sterically hindered, like for example abalyn® or benzyl benzoate.
35	1	art	however, if it is desired to prepare individual stereoisomers, this may be achieved according to methods known in the art, e.g.
17	2	based,mixed	the polyether backbone is normally based on either propylene oxide (po), ethylene oxide (eo), or mixed po/eo.
17	2	end,form	the repeat units form the backbone of the oligomer and are preferably terminated with modified isethionate end-caps.
34	1	aromatic	in a most preferred embodiment, the aromatic polyisocyanate is a trimethylol propane-adduct of xylylene diisocyanate.
17	2	case,formulations	these formulations do not warrant a detailed description here, which would in any case not be exhaustive.
17	2	particularly,performance	suitable techniques include chromatography such as high performance liquid chromatography, referred to as hplc, and particularly silica gel chromatography and gas chromatography trapping known as gc trapping.
17	2	additionally,raw	additionally, some perfume raw materials are supplied by the fragrance houses (firmenich, international flavors &amp;
17	2	art,standard	for example, “about” can mean within 3 or more than 3 standard deviations, per the practice in the art.
17	2	based,preparation	%, based on the total weight of the preparation.
17	2	extract,water	inci: water and lentinus edodes extract), actimp 1.9.3 (company expanscience/rahn;
17	2	art,contain	detergent builders are well known in the art and can contain, for example, phosphate salts as well as various organic and inorganic nonphosphorus builders.
34	1	ethyl	ethyl-2,3,6,6-tetramethyl-2-cyclohexene carboxylate;
17	2	case,performance	olfactive performance in the case of perfuming ingredients.
17	2	quickly,technical	§ 1.72(b) to allow the reader to quickly ascertain the nature and gist of the technical disclosure.
17	2	color,stability	by “perfumery adjuvant”, it is meant here an ingredient capable of imparting additional added benefit such as a color, a particular light resistance, chemical stability, etc.
34	1	particularly	ampholytic surfactants are also suitable, particularly as co-surfactants.
17	2	defined,end	furthermore, the ranges defined throughout the specification include the end values as well, i.e.
17	2	group,hydrophobic	according to a particular embodiment, the hydrophobic material comprises a mixture of a perfume with another ingredient selected from the group consisting of nutraceuticals, cosmetics, pest control agents and biocide actives.
17	2	effects,hydrogen	to calculate the “weighted hansen solubility parameter” one must combine the effects of (atomic) dispersion forces, (molecular) permanent dipole-permanent dipole forces, and (molecular) hydrogen bonding (electron exchange).
33	1	contain	dispersants—the compositions of the present invention can also contain dispersants.
33	1	care	(c) cosmetic dental-care products, especially dental and oral care products, tooth care products, cleaners for dental prostheses, adhesives for dental prostheses;
33	1	care	and (d) cosmetic hair care products, especially hair shampoos, hair care products, hair setting products, hair-shaping products, and hair coloring products.
33	1	acetate	cedryl acetate ((1s,6r,8ar)-1,4,4,6-tetramethyloctahydro-1h-5,8a-methanoazulen-6-yl acetate);
33	1	ethyl	ethyl-2-ethyl-6,6-dimethyl-2-cyclohexene carboxylate;
33	1	cationic	preferred cationic polymers have cationic charge densities of at least 0.5 meq/g, more preferably at least about 1.5 meq/g, but also preferably less than about 7 meq/g, more preferably less than about 6.2 meq/g.
33	1	contain	if the nonionic surfactants contain polyglycol ether chains, they may have a conventional homolog distribution, although they preferably have a narrow-range homolog distribution.
32	1	cleaning	when present in the compositions herein, the dye transfer inhibiting agents are present at levels from about 0.0001%, from about 0.01%, from about 0.05% by weight of the cleaning compositions to about 10%, about 2%, or even about 1% by weight of the cleaning compositions.
16	2	aspect,optionally	in one aspect, a situs is optionally washed and/or rinsed, contacted with a particle according to the present invention or composition comprising said particle and then optionally washed and/or rinsed.
16	2	mixed,water	u.s.a.) is dissolved and mixed in 200 grams deionized water.
16	2	end,intended	a solvent suitable for use in a consumer product is a solvent that, when combined with other components of the end product, will not render the consumer product unfit for its intended consumer use.
16	2	acid,water	water-soluble polyamides containing acid groups are also suitable for this purpose.
16	2	based,hydrogen	suitable block polyoxyethylene-polyoxypropylene polymeric surfactants include those based on ethylene glycol, propylene glycol, glycerol, trimethylolpropane and ethylenediamine as the initial reactive hydrogen compound.
16	2	acid,base	amphoteric amines, i.e., amines that can react as an acid as well as a base, are another class of amines of use in this invention.
16	2	group,positively	a salt can be formed between an anion and a positively charged group on the compound, polymer, or agent.
32	1	otherwise	materials were purchased from aldrich chemical company unless noted otherwise.
32	1	combination	the compounds of the present invention can be used in combination with a complementary fragrance compound.
16	2	applying,through	next air in the container is removed by applying a vacuum to the valve and then propellant is added to container through the valve.
16	2	otherwise,specifically	all ratios are weight ratios, unless specifically stated otherwise, and all measurements are made at 25° c., unless otherwise designated.
16	2	out,standard	reactions were carried out in standard glassware under n 2 .
16	2	extract,red	further naturally obtained extracts (for example paprika extract, black carrot extract, red cabbage extract) can be used for coloring purposes.
16	2	aspect,comprise	in one aspect, said microcapsule wall material may comprise any suitable resin and especially including melamine, glyoxal, polyurea, polyurethane, polyamide, polyester, etc.
16	2	contain,formulations	the formulations according to the invention advantageously contain at least one uv-a filter and/or at least one uv-b filter and/or a broadband filter and/or at least one inorganic pigment.
16	2	acid,fatty	besides the quaternised fatty acid triethanolamine ester salts, other suitable esterquats are quaternized ester salts of mono-/dicarboxylic acid mixtures with diethanolalkyamines or 1,2-dihydroxypropyl dialkylamines.
16	2	acid,particularly	citric acid, succinic acid, glutaric acid, adipic acid, gluconic acid and any mixtures thereof are particularly mentioned in this regard.
16	2	defined,stability	other bleaching agents include metal complexes of transitional metals with ligands of defined stability constants.
16	2	care,otherwise	as used herein, the term “fabric care composition” includes, unless otherwise indicated, fabric softening compositions, fabric enhancing compositions, fabric freshening compositions and combinations thereof.
32	1	care	in any field of fine and functional perfumery, such as perfumes, household products, laundry products, body care products and cosmetics.
16	2	base,cleaning	as used herein, ‘consumer product base’ means a composition for use as a consumer product to fulfill specific actions, such as cleaning, softening, and caring or the like.
16	2	modulating,primary	as a “perfuming ingredient” it is meant here a compound, which is used for the primary purpose of conferring or modulating an odor.
16	2	acid,form	the anionic surfactants may be present in acid form, salt form, or mixtures thereof.
16	2	color,contain	compositions that contain conditioning actives may provide softness, anti-wrinkle, anti-static, conditioning, anti-stretch, color, and/or appearance benefits.
16	2	active,care	fabric care products such as rinse conditioners (containing 1 to 30 weight % of a fabric conditioning active), fabric liquid conditioners (containing 1 to 30 weight % of a fabric conditioning active), tumble drier sheets, fabric refreshers, fabric refresher sprays, ironing liquids, and fabric softener systems such as those described in u.s.
32	1	toilet	hygiene articles can be selected from joss sticks, insecticides, repellents, propellants, rust removers, perfumed freshening wipes, armpit pads, baby diapers, sanitary towels, toilet paper, cosmetic wipes, pocket tissues, dishwasher and deodorizer.
16	2	effect,possible	according to the invention, all possible conformation or configuration isomers are expected to have a similar effect.
16	2	art,formulations	a person skilled in art may be well versed with the various general formulations for the above-mentioned products.
31	1	powder	as used herein, the term “solid” includes granular, powder, bar and tablet product forms.
31	1	found	in addition to the disclosure below, suitable examples of such other adjuncts and levels of use are found in u.s.
31	1	combination	a typical combination is a cocktail of conventional applicable enzymes like protease, lipase, cutinase and/or cellulase in conjunction with amylase.
31	1	powder	for example, the carrier can be an aerosol propellant such as a chlorofluoro-methane, or a solid such as a wax, plastics material, rubber, inert powder or gel.
31	1	art	such dosage is known to the skilled practitioner in the art.
31	1	origin	trademark and origin: noveon 3) zetesol ao 328 u;
31	1	origin	trademark and origin: goldschmidt 5) kathon cg;
31	1	origin	trademark and origin: basf 2) carbopol aqua sf-1 polymer;
31	1	group	alkyl), it is meant that said group can be in any type of topology (e.g.
30	1	comprise	when present, the compositions will typically comprise at least about 1% builder, or from about 5% or 10% to about 80%, 50%, or even 30% by weight, of said builder.
15	2	provided,synthetic	synthetic triglycerides can also be employed provided they are liquid at room temperature.
15	2	neutral,washing	in accordance with the present invention, purity is achieved by washing the capsules until a neutral ph is achieved, which is indicative of removal of unwanted impurities and/or starting materials, e.g., polyisocyanate, cross-linking agent and the like.
30	1	balsamic	balsamic ingredients: coumarine, ethylvanillin and/or vanillin;
30	1	malodor	the exact amount of malodor counteractant agent employed may vary depending upon the type of malodor counteractant, the type of the carrier employed, and the level of malodor counteractancy desired.
15	2	base,optionally	an invention&#39;s composition consisting of at least one compound of formula (i) and at least one perfumery carrier consists of a particular embodiment of the invention as well as a perfuming composition comprising at least one compound of formula (i), at least one perfumery carrier, at least one perfumery base, and optionally at least one perfumery adjuvant.
15	2	called,results	goods results are also achieved with the colors named in the following, the so-called aluminum lakes: fd &amp;
15	2	green,red	c red 40 lake, sunset yellow lake, carmoisine lake, amaranth lake, ponceau 4r lake, erythrosyne lake, red 2g lake, allura red lake, patent blue v lake, indigo carmine lake, brilliant blue lake, brown ht lake, black pn lake, green s lake and mixtures thereof.
15	2	acetate,group	preferred antioxidants are selected from the group consisting of vitamin a and derivatives, vitamin c and derivatives, tocopherol and derivatives, preferably tocopheryl acetate, and ubiquinone.
15	2	comprise,formulations	hair growth activators or inhibitors formulations and products according to the present invention may also comprise one or more hair growth activators, i.e.
15	2	comprise,formulations	alternatively, formulations and products according to the present invention may comprise one or more hair growth inhibitors (as described above), i.e.
15	2	ethyl,lilial	ethers include, for example, benzyl ethyl ether while aldehydes include, for example, the linear alkanals containing 8 to 18 carbon atoms, citral, citronellal, citronellyloxyacetaldehyde, cyclamen aldehyde, hydroxycitronellal, lilial and bourgeonal.
15	2	generally,hydrophobic	generally speaking, such compounds are understood to mean compounds that have two hydrophilic groups and two hydrophobic groups per molecule.
15	2	acid,comprise	copolymers of acrylic acid with maleic acid, which comprise 50 to 90 wt.
15	2	acid,particularly	% maleic acid, have proven to be particularly suitable.
15	2	effect,particularly	a polysaccharide with a dextrose equivalent (de) of 0.5 to 40 and, more particularly, 2 to 30 is preferred, the de being an accepted measure of the reducing effect of a polysaccharide in comparison with dextrose, which has a de of 100.
15	2	advantageous,particularly	a product oxidized at c6 of the saccharide ring can be particularly advantageous.
15	2	application,art	examples the present application is further described by means of the examples, presented below, wherein the abbreviations have the usual meaning in the art.
15	2	application,applied	products, and/or methods relating to treating skin (human, dog, and/or cat), including application of creams, lotions, and other topically applied products for consumer use;
15	2	acid,fatty	the reaction product of n-(2-hydroxyethyl)-1,2-ethylenediamine or n-(2-hydroxyisopropyl)-1,2-ethylenediamine with glycolic acid, esterified with fatty acid, where the fatty acid is (hydrogenated) tallow fatty acid, palm fatty acid, hydrogenated palm fatty acid, oleic acid, rapeseed fatty acid, hydrogenated rapeseed fatty acid;
15	2	basic,violet	52015 conjugate, montmorillonite basic violet v3 c.i.
15	2	basic,violet	52015 conjugate, hectorite basic violet v3 c.i.
15	2	basic,violet	52015 conjugate, saponite basic violet v3 c.i.
30	1	care	or a home care product, such as a mold remover, a furnisher care product, a wipe, a dish detergent or a hard-surface (e.g.
15	2	acetate,ethyl	ethyl linalyl acetate ((z)-3,7-dimethylnona-1,6-dien-3-yl acetate);
30	1	deodorants	hairsprays, hair gels, setting hair lotions, hair conditioners, hair shampoo, permanent and semi-permanent hair colorants, hair shaping compositions such as cold waves and hair smoothing compositions, hair tonics, hair creams and hair lotions, deodorants and antiperspirants such as e.g.
15	2	care,formulations	as used herein the phrase “fabric care composition” includes compositions and formulations designed for treating fabric.
30	1	neutral	cleaners for solid surfaces, can be selected from perfumed acidic, alkaline and neutral cleaners, such as e.g.
30	1	based	%, based on the total weight of the composition.
15	2	deodorants,mask	deodorizing compositions (deodorants and antiperspirants) counteract, mask or eliminate body odors.
15	2	aspects,provided	the details, examples and preferences provided in relation to any particular one or more of the stated aspects of the present invention will be further described herein and apply equally to all aspects of the present invention.
15	2	advantageous,particularly	this may be particularly advantageous where separation and/or purification steps can be avoided by using compound mixtures.
15	2	deodorants,fresheners	these include substrates such as air fresheners, laundry detergents, fabric softeners, deodorants, lotions, and other household items.
29	1	care	detailed description of the invention definitions as used herein “consumer product” means baby care, beauty care, fabric &amp;
