# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
mimicked	1	1	1.00	1.000	in practice, therefore, the odour of bergamot oil is alternatively mimicked very commonly by mixtures comprising linalyl acetate and linalool
increasingly	1	1	1.00	1.000	because of the allergenic properties of linalool, which is the main constituent occurring in bergamot oil, mixtures based on linalyl acetate and linalool, which are used industrially to imitate the odour of bergamot oil, are also increasingly becoming problematic
becoming	1	1	1.00	1.000	because of the allergenic properties of linalool, which is the main constituent occurring in bergamot oil, mixtures based on linalyl acetate and linalool, which are used industrially to imitate the odour of bergamot oil, are also increasingly becoming problematic
problematic	1	1	1.00	1.000	because of the allergenic properties of linalool, which is the main constituent occurring in bergamot oil, mixtures based on linalyl acetate and linalool, which are used industrially to imitate the odour of bergamot oil, are also increasingly becoming problematic
assert	1	1	1.00	1.000	dihydromyrcenol, which, as already mentioned above, is used as an alternative substance for imitating the odour of bergamot oil, has not yet been able to assert itself in practical perfumery as a means of producing a bergamot oil odour, against mixtures based on linalyl acetate and linalool, even th
pract	1	1	1.00	1.000	dihydromyrcenol, which, as already mentioned above, is used as an alternative substance for imitating the odour of bergamot oil, has not yet been able to assert itself in practical perfumery as a means of producing a bergamot oil odour, against mixtures based on linalyl acetate and linalool, even th
tmot	1	1	1.00	1.000	compensating for these aforementioned deficiencies by adding high perfume levels for the tmot can distort in-use scent experience, such that the perfume bloom can be too harsh or strong, and/or the perfume character can become less preferred
powdery-ionone	1	1	1.00	1.000	another compound according to the invention is 2α,5,5,8a α-tetramethyl-3,5,6,7,8,8a-hexahydro-1(2h)-naphthalenone, which possesses also a powdery-ionone odour type, but distinguishes from the above compounds by having more pronounced bottom notes of the earthy type as well as being drier
irone-like	1	1	1.00	1.000	thus, the invention&#39;s compounds belong to the family of the powdery and/or woody ingredients and are particularly useful to the perfumers to impart woody, powdery, iononic and/or irone-like odours, reminding of wood in some cases, to the composition or article in which they are added
damascone-violette	1	1	1.00	1.000	the odor of this invention&#39;s compound is considered by the perfumers as quite unique for a synthetic compound as it marries a woody/vetiver type note, quite rare itself, with damascone-violette and watery notes providing thus a unique odor profile
woody-damascone	1	1	1.00	1.000	furthermore the prior art compound lacks the woody-damascone character and note so typical of the invention&#39;s compound
sage-laurel	1	1	1.00	1.000	another example is 2,2,3α,8aα-tetramethyl-3,4,4aα,5,8,8a-hexahydro-1(2h)-naphthalenone which possesses a woody aromatic, sage-laurel odor and distinguishes itself from its closest prior art analogue (i.e 2,2,8a-trimethyl-3,4,4a,5,8,8a-hexahydro-1(2h)-naphthalenone) by having a totally different odor
woody-damascony	1	1	1.00	1.000	furthermore, this fresh woody-damascony note was well perceivable up to the bottom notes, effect not obtainable by the addition of the known synthetic perfuming ingredients known as having a woody character
patchouli-classic	1	1	1.00	1.000	the overall impression was that of a much drier and heavy fragrance with a minty note and a patchouli-classic under note having a poor volume.
dosed	1	1	1.00	1.000	fragrances used previously as preservatives either rely on dosing higher than normal perfume levels which may not be economic, or which may leave an overpowering fragrance or high levels of particularly effective compounds may be dosed dominating the fragrance note and restricting the creativity of 
rtx-wax	1	1	1.00	1.000	6b was analytically separated by gc using 30 m×0.25 mm rtx-wax column and the odours of the constituents were evaluated by the usual gc/sniff technique
oxidat	1	1	1.00	1.000	hence, not only is it possible to maintain flavor and aroma of the coffee beans c, but it is also possible to prevent oxidation of the coffee beans c
pungent-like	1	1	1.00	1.000	surprisingly it has been found that these compounds possess fruity, woody, agrestic, and pungent-like odor notes, suitable for use in flavor and fragrance compositions
ist	1	1	1.00	1.000	the new molecule as herein described is very valuable for the fragrance industry because of its olfactory characteristics, ist very low odor threshold value and also because of its ability to disperse very quickly throughout a room combined with a lingering effect
airy-marine	1	1	1.00	1.000	it gives also an exotic juicy connotation to this floral fruity flower note and also helps to develop an attractive airy-marine floral odour
tingling	1	1	1.00	1.000	another example of invention&#39;s compounds is (e,e)-2,4-hexadienyl (z)-3-hexenoate which possesses typically pear odor with a sparkling/tingling green note
mastic	1	2	0.50	1.000	furthermore, to the contrary of the invention&#39;s compound, the green note was also transformed by the introduction of an inelegant oily, resin and mastic note, typical of galbanum-like compound.
floral-hyacinth	1	1	1.00	1.000	yet a further example of the invention is (2e,4e)-2,4-hexadienyl 3-phenyl-propanoate, which is characterized by a floral-hyacinth odor with a honey-cinnamic like bottom note
honey-cinnamic	1	1	1.00	1.000	yet a further example of the invention is (2e,4e)-2,4-hexadienyl 3-phenyl-propanoate, which is characterized by a floral-hyacinth odor with a honey-cinnamic like bottom note
married	1	1	1.00	1.000	on the other side, addition of the same amount of sorbol isobutyrate introduced a strong apple character which did not married the basic floral note of the original fragrance
tonic	1	1	1.00	1.000	this addition transformed also the classical green aspect by imparting a sparkling and tonic nuance
sorbol	1	1	1.00	1.000	although having a fruity type odor, the present compound differs significantly in character from the odor of the sorbol ester of the prior art (i.e the sorbol isobutyrate)
lifestyle-appealing	1	1	1.00	1.000	such an objective may be achieved using a nicotine-containing toiletry-water, which adds e g the features of lifestyle-appealing discreetness and agreeable smell
discreetness	1	1	1.00	1.000	such an objective may be achieved using a nicotine-containing toiletry-water, which adds e g the features of lifestyle-appealing discreetness and agreeable smell
nicotine	1	1	1.00	1.000	except for the rapid transdermal delivery of nicotine the present invention provides the following advantages: very good compliance due to administration in connection with daily toiletry routines, easy and convenient masking of the nicotine odour, suitable for both men and women, breaks the smoking
dioxepin	1	1	1.00	1.000	accordingly, a further feature of the invention relates to the use of 2-(1,1,4-trimethylpent-3-enyl)-4,7-dihydro-1,3-dioxepin for increasing the odour perceived above an aqueous solution containing surfactants (e.g
nitrites	1	1	1.00	1.000	5,389,608), there is no indication in the literature that these intermediates, namely the α,β-unsaturated nitrites, have odour properties which make them suitable for the fragrance industry
inhalation	1	1	1.00	1.000	stress relief is achieved through the stimulation of the sense of smell of the subject, through the inhalation by the subject of an effective amount of at least one perfume composition in accordance with the invention, particularly in an aesthetically pleasing form, such as, for example, cologne, a 
whitener	1	2	0.50	1.000	examples of fabric-care products useable as carriers for a composition of the present invention include but are not limited to laundry detergents, laundry soaps, fabric softeners, fabric sprays, fabric deodorants, dryer-added products, whitener products, bleaching products, optical whitener products
agriculture	1	3	0.33	1.000	typical sources of malodor include but are not limited to agriculture, amines, body odor, cigarette smoke, compost, dairy industry, gangrenous wounds, garbage, human feet, diapers, dirty laundry, halitosis, bad breath, lesions, livestock, manure, mercaptans, sewage, sludge, smoke, swine, tobacco, tr
abscesses	1	1	1.00	1.000	embodiments of the composition are virtually scentless yet even such embodiments are effective in ameliorating the negative effect of malodors and stench, especially those associated with decomposing flesh, burned flesh, abscesses, urine, feces odors, ammonia-like odors, and amine and indole compoun
cadaverine	1	2	0.50	1.000	1 it is seen that the ability to sense the odors of cadaverine and skatole was not significantly affected by the use of a product of the present invention
stench	1	1	1.00	1.000	when a person inhales vapors released from the composition of the present invention concurrently with inhaling the vapors associated with malodor and stench, the person is aware of the smell of the malodor and stench but does not have any particularly strong reaction (e.g., retching, vomiting, faint
decaying	1	1	1.00	1.000	further, the subject did not report any of the usual reactions to the smell of decaying flesh
chemotherapy	1	1	1.00	1.000	the first group reports no or significantly reduced levels of anticipatory nausea caused by smelling the hospital and specifically, detecting the characteristic smells of a chemotherapy clinic
modern-green	1	1	1.00	1.000	with (z)-1-(3-methylbut-2-enyloxy)hex-3-ene) exhibited a markedly fresher modern-green top note, which was also characterized by violet, lily of the valley, jasmine and apple aspects.
containi	1	1	1.00	1.000	accordingly, a further feature of the invention relates to the use of (z)-1-(3-methylbut-2-enyloxy)hex-3-ene for increasing the odour of other fragrances perceived above an aqueous solution containing surfactants (e.g
excipients	1	2	0.50	1.000	alternatively, the combination may be included in a composition which may further comprise other components such as carriers, adjuvants, excipients, further odour producing compounds such as perfumes, cleaning components such as soaps and detergents, colouring agents such as dyes and pigments or pol
battery	1	2	0.50	1.000	in some embodiments, the article is paper, cardboard, plastic or fabric, for example, impregnated paper or cardboard used to freshen or perfume a home, office or car, cardboard or plastic strips designed to be placed in a battery operated odour-emanating device or an odour-emanating device attached 
floors	1	1	1.00	1.000	not only are those using the polish compositions exposed to the combination of ch, th and ap while polishing furniture, shoes or other surfaces such as floors, but residual odour may be slowly released from the furniture, shoes, or surfaces exposing humans and animals in their vicinity to the chroni
circulate	1	1	1.00	1.000	optionally such disposable pieces of impregnated cardboard or paper may be suspended in front of a fan or air conditioning system to circulate the odour of the combination of the invention
housed	1	4	0.25	1.000	the rise in hr and bt were abolished in mice which had been housed with odour chemicals 0.03% volume ch, 0.03% volume th and 0.015% volume ap (in the cage)
restraint	1	1	1.00	1.000	on the first day during the first period of restraint, the odour did not have a significant effect on heart rate compared to control animals
cage	1	1	1.00	1.000	however, it was observed that 92% of the animals would spend most of their time near the corner of the cage where the odour was applied
week	1	1	1.00	1.000	on the last week the odours are withdrawn while telemetry data are continually recorded
chronic	1	1	1.00	1.000	(1) demonstrate that exposure to chronic stress-relieving odours does not produce significant abnormalities in neuronal excitability or synaptic plasticity in brain areas processing olfactory information; and (2) determine whether the effects of chronic stress on neuronal excitability and synaptic p
stress-relieving	1	4	0.25	1.000	this demonstrates that stress-relieving odours are not harmful to normal brain function and that these odours (at the concentration demonstrated to have an effect) reduce or prevent known effects of chronic stress on central neurones
sites	1	1	1.00	1.000	the hippocampus, amygdala and piriform cortex all have projections to centres generating autonomic responses (haberly, 2001;sah et al., 2003), and are thus possible sites for odour effects
memories	1	2	0.50	1.000	the entorhinal cortex/hippocampus is vital for distinguishing between different odours and for the formation and retention of memories for odours and other sensory inputs in rodents and man (alvarez et al., 2002; eichenbaum et al., 1983)
paraffin-like	1	1	1.00	1.000	controls received the vehicle solution only, 100% of triethyl citrate, which has paraffin-like smell with no known mental effects
painting	1	1	1.00	1.000	the paint may then emit the odour of the combination while in a liquid state, before painting, during painting or during drying, and in some cases may emit odour slowly over a long period of time
surroun	1	1	1.00	1.000	particularly when heat from a candle is applied, the odour of the combination of the invention is released into its surroundings exposing those subjects in its vicinity to the chronic stress relieving effects of the composition
relievin	1	1	1.00	1.000	the odour of the combination of the invention is still capable of relieving or preventing the effects of chronic exposure to stress even if its odour is not detectable by the subject or if the odour is masked by other perfumes
integrate	1	1	1.00	1.000	known encapsulation techniques can be used to integrate scent into the fabric
anti-microbial	1	1	1.00	1.000	existing commercial products perform the basic function with minimum concern for additional comfort, aesthetics, or the ability to deliver extra benefits, such as moisturizing, anti-septic, fragrance, anti-fungal, anti-bacterial or anti-viral, anti-microbial effect, sweat-absorbing, odor mitigation,
sweat-absorbing	1	1	1.00	1.000	existing commercial products perform the basic function with minimum concern for additional comfort, aesthetics, or the ability to deliver extra benefits, such as moisturizing, anti-septic, fragrance, anti-fungal, anti-bacterial or anti-viral, anti-microbial effect, sweat-absorbing, odor mitigation,
terry	1	1	1.00	1.000	the freshly washed terry cotton towels were evaluated on a blind test by 40 panelists for their olfactive strength and 35 of the 40 panelists found the scent of the terry towels washed with detergent containing granulated perfume according to the invention far stronger when compared to that of the t
granulated	1	1	1.00	1.000	the freshly washed terry cotton towels were evaluated on a blind test by 40 panelists for their olfactive strength and 35 of the 40 panelists found the scent of the terry towels washed with detergent containing granulated perfume according to the invention far stronger when compared to that of the t
notdevelop	1	1	1.00	1.000	structure odor description via sandalwood-like note vib sweet, musk, animalic viiia powerful, woody note witha clear, clean sandalwoodnature, which does notdevelop until the end note* viiib woody, phenolic, leather,slightly sandalwood* viiic acetate, wood, very weaksandal note ixa weakly woody, very
weaksandal	1	1	1.00	1.000	structure odor description via sandalwood-like note vib sweet, musk, animalic viiia powerful, woody note witha clear, clean sandalwoodnature, which does notdevelop until the end note* viiib woody, phenolic, leather,slightly sandalwood* viiic acetate, wood, very weaksandal note ixa weakly woody, very
satisfaction	1	1	1.00	1.000	deman, published by van nostrand reinhold (new york), 1990, pages 167-168 these flavor ingredient-locked-in locked-in type powders have hitherto been blended into or added to foods and the like and have used for preventing vaporization of the flavor ingredient, a flavor, and the like in the capsules
dish-washer	1	1	1.00	1.000	thereafter, appearance and odor of each of the dish-washer powder detergents (l) to (n), (p), and (q) were evaluated in a sensory manner based on the following evaluation standard
emerge	1	1	1.00	1.000	middle notes are the scents that emerge after the top notes evaporate
concretes	1	1	1.00	1.000	perfumery materials are well-known in the art and include essential oils, concretes and extracts and aroma-producing chemicals, which may be of natural or synthetic origin
spin-drying	1	1	1.00	1.000	after spin-drying, the smell of the damp laundry was evaluated, after which the laundry was hung out on a line to dry
biocide	1	2	0.50	1.000	“fragrance alcohols” are understood to be compounds that contain at least one hydroxyl group and convey an impression of fragrance, whereas biocide alcohols are understood to mean compounds that contain at least one hydroxyl group and possess biocidal activity or at least inhibit germ growth
monom	1	1	1.00	1.000	table 18 fragrance impression of citronellyl derivatives in fabric softener concentrates monom
androstenol	1	1	1.00	1.000	it is has been discovered that the odor of androstenol improves the feelings of the women versus men (cowley et al
feelings	1	1	1.00	1.000	it is has been discovered that the odor of androstenol improves the feelings of the women versus men (cowley et al
applies	1	1	1.00	1.000	in the event that in the latter application according to the invention variant (a) applies, the body odor is preferably the smell of human sweat, in particular the smell of underarm sweat
eleven	1	1	1.00	1.000	specific embodiment twelve comprises the use as in specific embodiment ten or eleven, wherein the body odor is the smell of human sweat, in particular the smell of underarm sweat
preparati	1	1	1.00	1.000	like the perfume oils according to the invention, the cosmetic preparations according to the invention have the advantage that because of the comparatively weak inherent smell of the accords according to the invention the cosmetic preparations according to the invention are not associated with speci
memb	1	1	1.00	1.000	c” according to parfum — 0.20 example 4 perfume oil according to parfum 0.80 example 3 water water (aqua) to 100 to 100 all the preparations described in examples 7 to 34, which contained accords according to the invention, in each case demonstrated under identical observations to those described in
weakens	1	1	1.00	1.000	for example, hexahydro-1′, 1′, 5′,5′-tetramethylspiro[1,3-dioxolane-2,8′(5′h)-[2h-2,4a]-methanonaphthalene which is a cyclic isolongifolanone ketal has higher substantivity than isolongifolanone, but an increase in the molecular weight weakens its smell, leading to loss of a woody, soft and natural 
decent	1	1	1.00	1.000	as one example of use, addition of 0.5 mass % of a floral-musk type fragrance composition containing 1 mass % of 8-drimanol (1a) to a hair shampoo can produce a soft and warm odor typical to natural ambergris and provide a soft and decent odor to the hair continuously
ligh	1	1	1.00	1.000	although the compound gives a odor of animalistic warmth, too intense odor hinders its use for lightly fragranced cosmetics which are applied directly to the skin and in addition, it may impair the odors of other fragrance compounds
cleanl	1	1	1.00	1.000	as a result of evaluation of the odor of the cotton towel, it produced a odor with softness and cleanliness
arm-pit	1	2	0.50	1.000	the said method provides a treatment for topical condition, which includes alleviation of skin conditions such as skin rash including diaper rash, dry skin, scalp dandruff, broken or chafed skin, sunburn, skin damage from uv, skin irritation, acne including excess facial oil and facial pore size; da
zeolite	1	1	1.00	1.000	example 7 the method of topical treatment with zinc zeolite glycol for body odor treatment the following steps are performed for this method of topical treatment
maintenance	1	1	1.00	1.000	varying the character of the liquid vehicle can control generation and maintenance of the heat of hydration of anhydrous zeolite
herbal-like	1	14	0.07	1.000	fragrance substance compositions with a rose oxide and herbal-like head note are frequently looked for, and these should simultaneously have a distinct blooming (odor from an aqueous solution)
medical	1	4	0.25	1.000	in addition, a use of 2,4′-dimethylpropiophenone is disclosed as a means for changing, masking and/or reducing a medical odor note in a fragrance substance composition, preferably in a fragrance substance composition according to the invention
oxide-like	1	9	0.11	1.000	the surprisingly (in perfume compositions) floral, rosy, rose oxide-like and herbal-like, in particular rose oxide-like and herbal-like odor profile of 2,4′-dimethylpropiophenone therefore contributes to the fact that this fragrance substance is particularly suitable for corresponding uses in these 
woody-hay-like	1	1	1.00	1.000	p-isopropylacetophenone p-isobutylacetophenone is a fragrance substance which is similar to p-methylacetophenone and is distinguished by a woody-hay-like note and high adherence
after-odor	1	3	0.33	1.000	as already mentioned above it is also preferred if in the fragrance substance compositions according to the invention (mentioned above or described below), a quantity of 2,4′-dimethylpropiophenone is contained, which is sufficient to impart, to modify and/or to reinforce one, two, three or all the o
surfactant-contai	1	2	0.50	1.000	a further aspect of the present invention accordingly relates to the use of 2,4′-dimethylpropiophenone as a means for increasing the odor of other fragrance substances perceived over a surfactant-containing aqueous solution
mentholated	1	3	0.33	1.000	these two diols have an intense refreshing effect, above all without appreciable bitterness or mentholated odour
pyrrolidine	1	1	1.00	1.000	however, under the usual conditions of use of products with a refreshing effect, the use of these enamines is impeded by their relatively poor stability, with the production of an unpleasant odour of pyrrolidine and significant browning
browning	1	1	1.00	1.000	however, under the usual conditions of use of products with a refreshing effect, the use of these enamines is impeded by their relatively poor stability, with the production of an unpleasant odour of pyrrolidine and significant browning
sould	1	1	1.00	1.000	it is known in the art is that a fragrance is built according to the following pattern, a top note, also known as a head note, a middle note also called heart note and a base note, also called dry-down note or sould note as described for instance in “perfume legends”, 1996, by michael edwards or exp
monocyclic	1	1	1.00	1.000	certain monocyclic chemicals possessing sandalwood odor have been prepared in the laboratory
pork	1	1	1.00	1.000	particular examples include aroma of citrus such as orange, lemon, lime, grape fruit, yuzu ( citrus junos ) and sudachi ( citrus sudachi ); aroma of berry such as strawberry, raspberry, blue berry; aroma of tropical fruit such as mango, papaya, guava, passion fruit, litchi; aroma of fruit such as ap
asafetida	1	1	1.00	1.000	particular examples include aroma of citrus such as orange, lemon, lime, grape fruit, yuzu ( citrus junos ) and sudachi ( citrus sudachi ); aroma of berry such as strawberry, raspberry, blue berry; aroma of tropical fruit such as mango, papaya, guava, passion fruit, litchi; aroma of fruit such as ap
ajowan	1	1	1.00	1.000	particular examples include aroma of citrus such as orange, lemon, lime, grape fruit, yuzu ( citrus junos ) and sudachi ( citrus sudachi ); aroma of berry such as strawberry, raspberry, blue berry; aroma of tropical fruit such as mango, papaya, guava, passion fruit, litchi; aroma of fruit such as ap
cashew	1	1	1.00	1.000	particular examples include aroma of citrus such as orange, lemon, lime, grape fruit, yuzu ( citrus junos ) and sudachi ( citrus sudachi ); aroma of berry such as strawberry, raspberry, blue berry; aroma of tropical fruit such as mango, papaya, guava, passion fruit, litchi; aroma of fruit such as ap
whisky	1	1	1.00	1.000	particular examples include aroma of citrus such as orange, lemon, lime, grape fruit, yuzu ( citrus junos ) and sudachi ( citrus sudachi ); aroma of berry such as strawberry, raspberry, blue berry; aroma of tropical fruit such as mango, papaya, guava, passion fruit, litchi; aroma of fruit such as ap
mola	1	1	1.00	1.000	particular examples include aroma of citrus such as orange, lemon, lime, grape fruit, yuzu ( citrus junos ) and sudachi ( citrus sudachi ); aroma of berry such as strawberry, raspberry, blue berry; aroma of tropical fruit such as mango, papaya, guava, passion fruit, litchi; aroma of fruit such as ap
safranal	1	1	1.00	1.000	safranal has the aroma of saffron, and is commercially valuable as a flavor and fragrance
tetrahydrolavandulol	1	1	1.00	1.000	tetrahydrolavandulol has the scent of roses and is used extensively in the fragrance industry
fortify	1	1	1.00	1.000	the various embodiments may be used, for example, to promote the covalent attachment of long-chain alkyl groups to damaged hydrophilic hair and/or skin in order to replenish and/or fortify the normally hydrophobic character of these substrates
subj	1	1	1.00	1.000	color and odor of cosmetic preparations can change if the preparations are subjected to elevated temperatures or light, for example in window displays
condensates	1	1	1.00	1.000	description the present invention refers to a novel class of campholytic aldehyde condensates having useful woody-ionone-like odor notes, and to their use as odorants
woody-ionone-like	1	1	1.00	1.000	description the present invention refers to a novel class of campholytic aldehyde condensates having useful woody-ionone-like odor notes, and to their use as odorants
urinaceous	1	1	1.00	1.000	whereas the odour of ebanol® and polysantol® has a creamy, woody and slightly urinaceous, animalic tonality typical of east indian sandalwood ( santalum album l.) oil, the compounds of the present invention as hereinbelow described have a distinct ionone-type, warm woody, balsamic, floral odour of t
ebanol	1	1	1.00	1.000	whereas the odour of ebanol® and polysantol® has a creamy, woody and slightly urinaceous, animalic tonality typical of east indian sandalwood ( santalum album l.) oil, the compounds of the present invention as hereinbelow described have a distinct ionone-type, warm woody, balsamic, floral odour of t
crystal	1	21	0.05	1.000	% of a crystal growth-promoting aroma substance selected from the group consisting of 2-methyl-3-(methylthio)furan, 2-methyl-3-furanthiol, bis(2-methyl-3-furyl) disulfide, furfurylmercaptan, methional, 2-acetyl-2-thiazoline, 3-mercapto-2-pentanone, 2,5-dimethyl-3-furanthiol, 2,4,5-trimethylthiazole,
growth-promoting	1	16	0.06	1.000	% of aroma substances (crystal growth-promoting aroma substances (b) and one or more further aroma substances (f))
encapsulate	1	1	1.00	1.000	thanks to the use according to the invention, it is for the first time straightforwardly possible to encapsulate aromas or aroma blends containing crystal growth-promoting aroma substances with cyclodextrins in industrially significant batches by atomization drying methods (see below for further det
poultry	1	1	1.00	1.000	the crystal growth-promoting aroma substances may for example be a constituent of aromas of the following flavor directions: meat (for example pork, beef, chicken/poultry aromas); roast/baked products (for example coffee, cocoa, chocolate, bread, roast potato aromas); milk products (for example chee
yogurt	1	1	1.00	1.000	the crystal growth-promoting aroma substances may for example be a constituent of aromas of the following flavor directions: meat (for example pork, beef, chicken/poultry aromas); roast/baked products (for example coffee, cocoa, chocolate, bread, roast potato aromas); milk products (for example chee
directions	1	2	0.50	1.000	in addition to tomato aroma, aromas of the shrimp, beef and chicken flavor directions were also complexed with beta-cyclodextrin
flavonoid	1	2	0.50	1.000	description the present invention relates to the use of at least one flavonoid for odour improvement or odour stabilisation, and to corresponding compositions and the preparation thereof
conceivable	1	1	1.00	1.000	everyday human life is no longer conceivable without scents, aroma substances, generally perfume oils, fragrances or aroma chemicals
low-boiling	1	1	1.00	1.000	the relatively volatile scents include, in particular, the relatively low-boiling scents of natural or synthetic origin, which can be employed alone or in mixtures
solubilisers	1	1	1.00	1.000	preferred assistants originate from the group of the preservatives, antioxidants, stabilisers, solubilisers, vitamins, colorants and odour improvers
premixes	1	1	1.00	1.000	the object of the present invention was accordingly to find ways of stabilising or improving the fragrance or odour of compositions or premixes
purp	1	1	1.00	1.000	however, the higher-boiling or solid scents of natural or synthetic origin can also be employed for the purposes of the present invention as tenacious scents or scent mixtures, i.e
self-tanner	1	1	1.00	1.000	the present invention therefore furthermore relates to the uses of at least one flavonoid for the stabilisation of and/or improvement in the odour of self-tanner compositions comprising at least one self-tanner substance on the skin
buying	1	1	1.00	1.000	they correspond to the first olfactory impression of the product and are responsible for the buying act
musky-rosy	1	1	1.00	1.000	odor description: musky-rosy note with a fruity, pear-type nuance and some reminiscence to geranyl acetate.
individ	1	1	1.00	1.000	cosmetics normally contain a number of perfume substances, which are used to cover up unpleasant inherent odors of preparation constituents and to give the cosmetic the individual scent that is typical for the manufacturer
good-feeling	1	2	0.50	1.000	in this connection, the fragrance in the antioxidant is useful also in masking a malodor by the aroma of the fragrance, and in that case, it is desirable to be masked by a good-feeling and comfortable aroma to the user
new-type	1	5	0.20	1.000	further, a carboxylic acid ester of 2-methyl-2-pentenol with new-type aroma and/or flavor, which is used in the flavor composition or fragrance composition of the invention, is obtained by esterification of 2-methyl-2-pentenol
pentenol	1	1	1.00	1.000	further, a carboxylic acid ester of 2-methyl-2-pentenol with new-type aroma and/or flavor, which is used in the flavor composition or fragrance composition of the invention, is obtained by esterification of 2-methyl-2-pentenol
pentenyl	1	1	1.00	1.000	table 1 compound name evaluation result 2-methyl-2-pentenyl pear, melon and banana-like fruity acetate odor 2-methyl-2-pentenyl herb-like fruity greenish odor propionate 2-methyl-2-pentenyl wood-like fruity greenish odor butyrate 2-methyl-2-pentenyl fruity floral odor with violet note benzoate examp
hrp	1	2	0.50	1.000	an hrp possesses unique fragrant notes and, therefore, are particularly useful individually and in combination with other fragrant chemicals in a variety of perfume compositions
augmenti	1	1	1.00	1.000	the unique fragrance notes of an hrp thus make them useful in impacting, altering, augmenting or enhancing the overall olfactory component of a perfume composition, for example, by utilizing or moderating the olfactory reaction contributed by one or more other ingredients in the composition
bothersome	1	1	1.00	1.000	during use, however, the reformation of aminoalkylpolysiloxanes may give rise to bothersome secondary olfactory impressions, which, in particular, become stronger in proportion to the extent of evaporation of the released odiferous substance and to the effect of the aminoalkylpolysiloxane&#39;s own 
polyorganosiloxane	1	1	1.00	1.000	furthermore, immobilization using the groups mentioned which are reactive with regard to the substrate leads to the polyorganosiloxane not generating any odor anymore after the fragrance has been released, because of its immobilization
babies	1	1	1.00	1.000	even more interesting is that it was shown in these studies that babies prefer the odor attributes of human milk compared to those of artificial infant formula or milk products based on milk compositions of animal origin such as cow&#39;s milk etc
conspecific	1	1	1.00	1.000	from these, the conspecific odor compositions of the milks from for example cows, ewes, etc
techniques	1	1	1.00	1.000	on the other hand, the commonly used techniques for odor analysis of human milk such as solvent extraction techniques or gas chromatographic analysis in coupling with mass spectrometry or flame ionization detection were very limited with regard to odor specificity
compose	1	1	1.00	1.000	in conclusion, it seems highly improbable that these substances are natural human milk odor constituents that are supposed to compose the human milk aroma attributes
contributors	1	1	1.00	1.000	therefore, it is not possible to identify potential odor contributors for human milk aroma among the identified volatiles presented in the cited study, and to rate their possible impact and contribution to human milk aroma
inventor	1	1	1.00	1.000	in order to find an optimal infant formula, wherein the amounts and composition of the odor-active substances are as dose as possible to mother&#39;s milk, the present inventor has studied the odor composition of fresh human milk by appropriate analytical tools without thermal exposition, predominan
buccal	1	1	1.00	1.000	recently, sbse was used in the context of a new in-vivo approach called boss (buccal odor screening system) 39, 40
characterization	1	2	0.50	1.000	characterization odor-active compounds via pdms bar—headspace sampling when analyzing the headspace above the human milk samples by means of hrgc-olfactometry of the adsorbed substances, a total of 22 odor-active compounds was detected
cas	1	1	1.00	1.000	retention index d on cas- odor sampling db- no
bellpepper-like	1	1	1.00	1.000	characteristic bellpepper-like, phenolic and savory-like impressions were elicited by 3-isobutyl-2-methoxypyrazine, 2-methoxyphenol, and sotolon, while one metallic smelling compound remained unidentified
savory-like	1	1	1.00	1.000	characteristic bellpepper-like, phenolic and savory-like impressions were elicited by 3-isobutyl-2-methoxypyrazine, 2-methoxyphenol, and sotolon, while one metallic smelling compound remained unidentified
p-tert-butylcyclohexanol	1	1	1.00	1.000	under number 433, the smell of p-tert-butylcyclohexanol is described as extremely dry, woody-camphorous, almost tar-like with leathery aspects
tra	1	1	1.00	1.000	in the case of the 4-isoamylcyclohexanol to be employed according to the invention, the cis isomer in particular shows a particularly strongly pronounced smell of roses with a geranium note and a very natural, bright and transparent smell, cis-isoamylcyclohexanol is reminiscent of rose oil and has a
polyunsaturated	1	3	0.33	1.000	background art it is known that polyunsaturated compounds possess significant aroma characteristics
hyacinthine	1	2	0.50	1.000	table 4 a hyacinthine scented, basic formulated aroma composition blended component blended amount (g) phenylacetaldehyde 100 cinnamic alcohol 150 hyacinth absolute 20 phenylethyl alcohol 100 α-ionone 30 benzyl propionate 70 ylang-ylang oil 20 amylcinnamic aldehyde 50 isoeugenol 40 benzyl alcohol 10
lea	1	1	1.00	1.000	for example, jp 50 (1975)-32105a discloses that 1,3,5-undecatriene has floral note reminiscent of hyacinth, violet, narcissus, lavender or gardenia and its leafy bottom note expresses or enhances its property resembling that of the natural aroma
excelling	1	2	0.50	1.000	table 3 compound blended odor evaluation none control 6,8,10-undecatrien-3-ol pineapple note with enhanced fresh fruity characteristics compared with the control 6,8,10-undecatrien-4-ol very natural pineapple note with enhanced fresh fruity characteristics compared with the control as above, all of 
hya	1	1	1.00	1.000	aromas of these novel formulated aroma compositions and that of the hyacinth-scented aroma composition as prepared in the above to which neither of the compounds was added, were compared by ten expert panelists
effec	1	1	1.00	1.000	table 5 compound blended odor evaluation none control 6,8,10-undecatrien-3-ol hyacinthine scent with emphasized natural note compared with the control 6,8,10-undecatrien-4-ol hyacinthine scent with emphasized natural note compared with the control as above, all of the ten expert panellists evaluated
