# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
game	2	4	0.50	0.500	the decoder section 102 of the olp 100 functions as an interface of an odor reproduction apparatus 200 and is capable of having odors 421 that go together with the screen of a television set, odors 422 that go together with multimedia communication, odors 423 that go together with video, odors 424 t
learn	2	2	1.00	0.500	user can train the local database to learn new odors and the characteristics
visually	2	3	0.67	0.500	it is possible to visually represent the aroma
detects	2	1	2.00	1.000	the fragrance has a vapor pressure that results in at least a portion of the fragrance vaporizing into the surrounding environment such that its presence can be detected, either by a living being that smells the scent of the fragrance, or by a sensor that detects the fragrance molecule
mole	2	1	2.00	1.000	the fragrance has a vapor pressure that results in at least a portion of the fragrance vaporizing into the surrounding environment such that its presence can be detected, either by a living being that smells the scent of the fragrance, or by a sensor that detects the fragrance molecule
disinfectants	2	2	1.00	0.500	as indicated above, the product or a composition (ii) as defined above preferably comprises or is selected from the group consisting of perfume extracts, eaux de parfum, eaux de toilettes, aftershaves, eaux de colognes, preshave products, splash colognes and perfumed freshening wipes, acidic, alkali
loaded	2	2	1.00	0.500	example 16—preparation of scent booster composition containing particles loaded with fragrance scent booster compositions are prepared incorporating whey protein particles loaded with fragrance as prepared above
relaxing	2	2	1.00	0.500	most agree that varieties that smell of musk or of clove deliver sedative, relaxing effects (high level of the terpene myrcene); piney smells help promote mental alertness and memory retention (high level of the terpene pinene); and lemony aromas are favored for general uplift in mood and attitude (
sheep	2	4	0.50	0.500	table 1 media, aliquots of overnight culture, and target od of broth cultures for the preparation of bacterial solutions aliquots of agar plate broth overnight target strains media media culture od staphylococcus tsa mh 1 ml 0.7-0.9 aureus dsmz 1104 staphylococcus tsa mh 1 ml 0.5-0.7 haemolyticus at
trimethylcyclohexanol	2	1	2.00	1.000	1,2,2,6-tetramethylcyclohexanol and 1-ethyl-2,2,6-trimethylcyclohexanol had odors very similar to that of geosmin
fenchone	2	1	2.00	1.000	the products obtained from the two enantiomeric forms of fenchone exhibited different odors
fenchol	2	2	1.00	0.500	tequila flavor a b 8.00 8.00 isoamyl alcohol 1.60 1.60 isobutyl alcohol 0.40 0.40 diethyl acetal 8.00 8.00 rum ether 20.00 20.00 brown sugar extract 0.40 0.40 cognac oil replacer 20.00 20.00 ethyl alcohol 40.80 40.70 propylene glycol 0.80 0.80 wine fusel oil 0.00 0.10 fenchol alcohol 10% in ethyl al
really	2	1	2.00	1.000	the effect is there from the ingredient; flavorist 11: really increased the lime notes and turns more characteristic enhancing the skin notes of the lime
grade	2	2	1.00	0.500	after the washing cycle the 3 graders enter the room, open the door of the washing machine, and one by one grade the wet odour of the load and bloom from the washing machine
load	2	2	1.00	0.500	after the washing cycle the 3 graders enter the room, open the door of the washing machine, and one by one grade the wet odour of the load and bloom from the washing machine
compounded	2	1	2.00	1.000	in addition, when a fixative is used as a scent longevity-enhancing agent together with a compounded fragrance, the scent lingering property may be somewhat enhanced, but a fully satisfactory lingering scent longevity has not been obtained
lipase-induced	2	1	2.00	1.000	(examples 15 to 33) lipase-induced scent emission test 10 mg of a fragrance precursor and 1 g of an aqueous 1% lipase preparation solution were put in a vial bottle and mixed and after hermetically sealing the bottle, the mixture was subjected to gc/ms analysis of the head space component to obtain 
dihydrofamesol	2	1	2.00	1.000	it could be confirmed that the dihydrofamesol odor is emitted by reacting the towel after drying obtained using the softener prepared in example 43 with lipase
lipase	2	2	1.00	0.500	table 22 results of scent intensity example comparative example comparative comparative 48 example 7 49 example 8 example 9 liquid with without with without with lipase detergent lipase lipase lipase lipase softener example example example example comparative 46 46 47 47 example 6 during 3.2 2.6 3.3
mushrooms	2	2	1.00	0.500	the essential oil of this species is obtained by hydrodistillation, and may have an odor that is both amber-scented, vanilla-scented, aromatic and woody, which is also reminiscent of the odor of mushrooms and licorice
licorice	2	3	0.67	0.500	the essential oil of this species is obtained by hydrodistillation, and may have an odor that is both amber-scented, vanilla-scented, aromatic and woody, which is also reminiscent of the odor of mushrooms and licorice
heady	2	2	1.00	0.500	note of note but we also find a papyrus, jasmine, heady flowery and amber-scented flowers
roman	2	2	1.00	0.500	tuberose is less distinct but the odor is reminiscent of aromatic water from roman chamomile
transition	2	1	2.00	1.000	the middle note is what bridges both the top note and the base note, providing a pleasant transition from the top note to the base note
interfering	2	1	2.00	1.000	despite advances in fragrance research, there is still a scarcity of compounds that are both potent and efficacious fragrance fixatives without interfering with the intended scent
fixed	2	1	2.00	1.000	it is well known that fragrance fixatives (also referred to as fragrance carriers) are generally synthetically produced chemicals and those that are natural can distort the nature or character of the fragrance being fixed
steviol-based	2	1	2.00	1.000	these properties are a unique and unexpected character of a steviol-based glycoside
rosemary	2	4	0.50	0.500	in another embodiment the invention is directed to a method for imparting a camphor, rosemary, sweet and fruity note to a perfume composition, body care composition, products for oral and dental hygiene, hygiene article, cleaning composition, textile detergent composition, compositions for scent dis
currant	2	5	0.40	0.500	in particular, 1-methoxy-1-vinyl-cyclopentane is used to impart a grapefruit and black currant note; or is used to produce a scent with a grapefruit and black currant note note
micro-encapsulated	2	3	0.67	0.500	there have been many advances in diaper technology and catamenial design addressing absorbency and odor control such as: high fluid absorbency gels, twined fibers directing flow, fiber modifications, micro-encapsulated scents, inclusion of inorganic salts, zeolites, antibacterial agents, organic aci
neutralized	2	2	1.00	0.500	in one or more embodiments, the present invention provides for a malodor counteractant (moc) formula consisting of (i) 1-(3-3 dimethylcyclohexyl)ethylpropanedioic acid ethyl ester, (ii) diphenyl oxide, and (iii) 4-(methylethyl)cyclohexan-1-ol ranging from 2% to 40% each and (iv) 2-methylpropanoic ac
zeolites	2	2	1.00	0.500	zeolites the odor control agents herein can also be zeolites
amine-type	2	2	1.00	0.500	the intermediate zeolites have a higher affinity for amine-type odors, they are more weight efficient for odor absorption because they have a larger surface area, and they are more moisture tolerant and retain more of their odor absorbing capacity in water than the high zeolites
deodorizer	2	2	1.00	0.500	the compositions of the present invention may comprise additional additives in any combination thereof, as long as the effect of the deodorizer against odor of the present invention is maintained
zinc	2	3	0.67	0.500	the perfumers noted not only a reduction in strength but also a change in the character of each fragrance chemical when zinc ricinoleate is added
water-based	2	2	1.00	0.500	volatile composition the volatile composition 24 may include, but is not limited to fragrances, flavor compounds, odor-eliminating compounds, aromatherapy compounds, natural oils, water-based scents, odor neutralizing compounds, and outdoor products (e.g., insect repellent)
date	2	2	1.00	0.500	to date, characters are designed to alter and develop with time as the different perfume raw materials evaporate from the substrate and are detected by the user
automatically	2	4	0.50	0.500	likewise, it is also not possible to “design” a chemical structure based on a desired odour, which is simply synthesized and automatically exhibits the desired odour
mediates	2	2	1.00	0.500	similar to other receptors important in sensory neurons, the capsaicin receptor (“trpv1” also referred to as the vanilloid trp, vanilloid 1 receptor or trpv1) mediates the pungent odor and pain/hot sensations associated with capsaicin and piperine by reversibly losing sensitivity to capsaicin as wel
intermediates	2	1	2.00	1.000	other examples of floral muguet compounds include, but are not limited to the compounds disclosed in skouroumounis et al., synthesis of 1,3,4,5-tetrahydro-2-benzoxepin derivatives as conformationally restricted analogues of cyclamenaldehyde-type compounds and as intermediates for highly odour-active
reinforce	2	2	1.00	0.500	in one particular embodiment the compounds of formula (i) may be combined with other known woody odorants, such as javanol™ (1-methyl-2-[[(1s,3r,5r)-1,2,2-trimethylbicyclo[3.1.0]hex-3-yl]methyl]cyclopropanemethanol), ebanol™ ((e)-3-methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol), radjan
comprehensive	2	5	0.40	0.500	table 1 smoke miscellaneous comprehensive serial number aroma amount gas evaluation embodiment 1 8 9 8 8 embodiment 2 8 9 8 8 embodiment 3 9 8 8 8 embodiment 4 8 9 9 9 embodiment 5 9 9 9 9 embodiment 6 8 8 9 8 embodiment 7 8 9 8 8 embodiment 8 9 9 9 9 embodiment 9 9 9 9 9 embodiment 10 9 8 8 8 embod
situation	2	2	1.00	0.500	the aroma of the cigarette is a comprehensive situation, including main aroma, base note, other auxiliary aroma, and expressed in forms of top note, smell aroma, etc
quick	2	2	1.00	0.500	such combination is due to the lasting aroma release of the tangerine peel essence, quick heating and strong aroma of the tangerine peel powder, so as to achieve the effects of ensuring outstanding aroma and lasting aroma of the tangerine peel and reducing the cost
cost	2	2	1.00	0.500	such combination is due to the lasting aroma release of the tangerine peel essence, quick heating and strong aroma of the tangerine peel powder, so as to achieve the effects of ensuring outstanding aroma and lasting aroma of the tangerine peel and reducing the cost
acetophenone	2	2	1.00	0.500	it has been surprisingly further observed that the acetophenone derivatives of formula (i), use alone or in a mixture of two or more acetophenone derivatives, also show the ability to stabilize emulsions through the improved solubility character of lipophilic compounds of the acetophenone derivative
flammability	2	2	1.00	0.500	the hydrocarbon oil implemented in the gelled composition according to the invention has boiling temperatures, a flash point and a vapour pressure that make it possible to overcome the problems of flammability, odour and volatility
preservation	2	2	1.00	0.500	as vegetable oils, butters can be refined in order to provide better preservation, neutralise odours, improve the colour and the consistency
opening	2	2	1.00	0.500	they experience the fresh smell of the product when opening the bottle in which it is contained and when pouring it into a washing machine
refresh	2	2	1.00	0.500	solubility: soluble in alcohol armoise nno+ organoleptic properties: colour/appearance: slightly green, liquid odour: soft and refresh aroma, reminiscent of armoise oil
animal-like	2	3	0.67	0.500	the best known ambergris fragrance substance ambroxide with the following structure is described to have a warm, slightly earthy, camphor-like, exotic-woody, animal-like note and is often used as a fixative due to its high tenacity
muguet-tone	2	5	0.40	0.500	solution to problem the present inventors synthesized various compounds and studied their aromas, and discovered that certain aldehyde compounds had a muguet-tone aroma, thereby arriving at the present invention
peppercorn	2	1	2.00	1.000	the compound has a strong spicy peppercorn aroma and a woody odor
vetiver-like	2	2	1.00	0.500	it loses some of its peppery aspects but develops a more woody, vetiver-like character which makes this compound extremely attractive for perfumery
biodegradability	2	2	1.00	0.500	&lt;comparative experiment&gt; each of the capsules prepared according to examples 1 to 3 and comparative examples 1 and 2 was evaluated for biodegradability, skin irritation and scent diffusion performance
irritation	2	2	1.00	0.500	&lt;comparative experiment&gt; each of the capsules prepared according to examples 1 to 3 and comparative examples 1 and 2 was evaluated for biodegradability, skin irritation and scent diffusion performance
median	2	4	0.50	0.500	mass of mass of brominated median scent a in vegetable oil in particle size broadness example fragrance oil fragrance oil (microns) index 33 112.50 75.00 11.81 1.28 to 90.0 grams of shampoo formulation (with a typical formulation given below) is added 2.33 grams of microcapsules (21.5 wt % scent a o
thick	2	2	1.00	0.500	for example, non-patent document 1 describes that various isobutyric esters are mainly used as flavors, and all of the following isobutyric esters are flavor materials having a fruit scent; specifically, methyl isobutyrate gives a sweet apricot-like scent, propyl isobutyrate gives a thick pineapple-
cos	2	2	1.00	0.500	examples of products to which a fragrance composition containing the isobutyric esters according to the present invention represented by formula (1) can be added to impart an aroma and improve the aroma of the object include various products such as perfumery and cosmetics, health and sanitary mater
details	2	2	1.00	0.500	as described in more details hereinafter, the odour strength is related to the so-called odour value of the perfume ingredient
poi	2	1	2.00	1.000	in one aspect, the fragrance profile or aroma of the composition is detectable by a consumer at later time points such as, for example, 2 hours, 4 hours, 6 hours, 8 hours, 10 hours, and possibly all the way up to 24 hours after application of the composition to a substrate as compared to controls
diesel	2	3	0.67	1.000	in particular, 2-(2,4,5-trimethylcyclohex-2-en-1-yl)ethan-1-ol is used to impart a crysantheme, green, herbal, dusty, diesel note
especia	2	2	1.00	1.000	in an alternative preferred embodiment, the invention is directed to a method of preparing a composition, in particular an aroma composition, especially a fragranced composition, specifically a ready-to-use fragranced composition, or for modifying the scent character of a composition, in particular 
residua	2	1	2.00	1.000	the residual scent of the fragrance capsule was evaluated by evaluating the residual scent of the test specimen after drying
specimen	2	1	2.00	1.000	the residual scent of the fragrance capsule was evaluated by evaluating the residual scent of the test specimen after drying
prescribed	2	1	2.00	1.000	although perfume creation is part science and part artistry, and there is no absolute prescribed definition for odour attributes of perfume compositions and perfume ingredients, nevertheless trained perfumers, realizing that there will be margin for some subjectivity, will be able to assign perfume 
sum	2	2	1.00	0.500	the overall odour of a perfume composition may be expressed as the weighted sum of the contribution of the odour attributes of the individual perfume ingredients comprised in the perfume composition
mental	2	2	1.00	0.500	based on the olfactive character of each of the selected ingredients, as well as the relative proportions in which they are employed, an experienced perfumer may be able to form a reasonable mental impression of the odor of the composition, which will be of some assistance in guiding him or her thro
olfactometer	2	2	1.00	0.500	the odor threshold of a fragrance ingredient can be determined, for instance, by either one of the two following measurements: a) olfactometer odor threshold: using an olfactometer, the following steps were carried out to determine the odor thresholds of the fragrance ingredient
room-filling	2	15	0.13	0.500	air fresheners: diffusive, blooming, room-filling, pleasant smell
virtual	2	3	0.67	0.500	to this end, any suitable output device known in the art may be used, for instance a sampling automat such as those typically used in the pharmaceutical industry or a virtual aroma synthesizer (vas™)
definite	2	2	1.00	0.500	in fragrance composition b, volatile and low odor threshold fragrance ingredients have been introduced, providing a definite juicy, fruity smell of over-ripe apple
int	2	2	1.00	0.500	this provides an immediate and intuitive impression of the distribution and impact of the odor families, without interfering with the other information displayed
importantly	2	2	1.00	0.500	importantly, smell dysfunction is an early sign of alzheimer&#39;s disease (9), the most common cause of dementia in the united states that is projected to affect an estimated 1 in every 45 individuals by 2050 (10)
triangle	2	4	0.50	0.500	in the triangle tests, the odd odor is presented in a single vial, and the control odor is presented in two identical vials
odd	2	10	0.20	0.500	the mixtures for smell-r (v1) control odor and smell-r (v2) odd odor were unique to these tests
digital	2	5	0.40	0.500	in embodiments, the vessel comprises a digital scent delivery device that volatilizes or aerosolizes the stimuli from a solid or liquid form
discriminate	2	2	1.00	0.500	the olfactory resolution test (smell-r) measures the ability of subjects to discriminate the smell of such mixtures with an increase in overlapping components ( fig
stimulus	2	2	1.00	0.500	tests were presented in glass jars or vials as triangle tests, in which subjects were asked to pick out the stimulus with the strongest odor (smell-s) or the odd odor (smell-r)
smaller	2	3	0.67	0.500	the difference for the two populations was much smaller for smell-r (v2) than the upsit as determined by calculating the difference in z-scores ( fig
reflect	2	2	1.00	0.500	the low phenylethyl alcohol scores of the other 6 subjects likely reflect odor-specific insensitivity to odorant rather than impaired olfactory function
anticipated	2	2	1.00	0.500	3 a , we anticipated that smell-s (v2) would be more accurate than the sniffin&#39; sticks phenylethyl alcohol threshold test in identifying subjects with smell dysfunction
clinic	2	2	1.00	0.500	diagnostic accuracy to be useful in the clinic, smell tests should correctly identify patients with smell dysfunction, and not misdiagnose normal subjects
optimal	2	2	1.00	0.500	to establish a diagnostically optimal cut-off score for smell-s (v2) and smell-r (v2), we divided subjects into dysfunctional and normal using an upsit cut-off score of 29, and examined smell-s (v2) scores of self-reported normal and abnormal subjects in these two groups ( fig
vial	2	5	0.40	0.500	in the triangle tests, the odd odor is presented in a single vial, and the control odor is presented in two identical vials
termed	2	2	1.00	0.500	to create 16 levels of increasing overlapping components, we randomly progressively replaced components of a mixture of 30 molecules (we termed this the odd odor), with components from another mixture of 30 components that did not change in composition across the levels (we termed this the control o
ink	2	3	0.67	0.500	sniffin&#39; sticks phenylethyl alcohol threshold test the sniffin&#39; sticks (23) threshold phenylethyl alcohol threshold test is a commercial product that uses felt-tip pens filled with odorant instead of ink for odor presentation
benzaldehyde	2	2	1.00	0.500	“included and excluded molecules” (supporting data set 1) molecules included (n = 109): intensity- matched and lateralization score ≤11 cid odor name 261 butyraldehyde 326 cuminaldehyde 454 octanal 660 dihydrocoumarin 957 octanol 1001 phenethylamine 1060 pyruvic acid 1068 methyl sulfide 1136 4-methy
acetal	2	2	1.00	0.500	“included and excluded molecules” (supporting data set 1) molecules included (n = 109): intensity- matched and lateralization score ≤11 cid odor name 261 butyraldehyde 326 cuminaldehyde 454 octanal 660 dihydrocoumarin 957 octanol 1001 phenethylamine 1060 pyruvic acid 1068 methyl sulfide 1136 4-methy
association	2	2	1.00	0.500	vennemann m m, hummel t, &amp; berger k (2008) the association between smoking and smell and taste impairment in the general population
smoking	2	3	0.67	0.500	vennemann m m, hummel t, &amp; berger k (2008) the association between smoking and smell and taste impairment in the general population
depends	2	2	1.00	0.500	whether a patient can correctly identify the smell of gingerbread depends not only on the patient&#39;s sense of smell, but also on whether the patient has previously encountered the smell of gingerbread
impacts	2	2	1.00	0.500	while not being bound by theory, applicants therefore believe that the type, level and the molecular weight of the selected colloid combined with the resulting shell polymer of the delivery systems and the particle size of the delivery system impacts the odor profile (intensity or character) that th
layered	2	3	0.67	0.500	detailed description of the preferred embodiments dialogue scents the concept of dialogue scents, where two or more fragrances are designed to interact with each other, has its roots in the evolving art of perfumery and the human desire to create layered, dynamic scent experiences
complementary	2	3	0.67	0.500	tips for designing scent dialogues focus on complementary notes: decide on a few unifying elements (e.g., citrus or amber) but explore different ways to highlight them in each scent
lightweight	2	2	1.00	0.500	it provides a lightweight and evenly diffused scent, making it ideal for quick application
evenly	2	3	0.67	0.500	it provides a lightweight and evenly diffused scent, making it ideal for quick application
intimate	2	2	1.00	0.500	applied directly to the skin, it offers a subtle and intimate scent while nourishing the skin, often used in layering routines to enhance longevity
deeper	2	2	1.00	0.500	typically applied to pulse points, it absorbs into the skin and evolves into a warmer, deeper aroma over time, making it ideal for a more personal and luxurious fragrance experience
tumble	2	3	0.67	0.500	after treatment, fabric odor (dry fabric odor, wet fabric odor, and/or tumble dry fabric odor, as indicated) is assessed using headspace analysis according to the method provided above
regulating	2	5	0.40	0.500	description field of the invention the present invention relates to a scent intensity regulating composition for improving scent delivery in an interior space, and apparatus and compositions containing same
deodorization	2	1	2.00	1.000	the composition may be configured for various uses, including but not limited to, air freshening, deodorization, odor elimination, malodor counteraction, pest control, insect control, insect repelling, medicines/medicaments, disinfectants, sanitization, mood enhancement, aromatherapy aid, scented co
ris	2	2	1.00	0.500	table 1 average vapor target average vapor pressure pressure of ris perfume of a prm in note group component note group (torr at 25° c.) ris component (torr at 25° c.) top note 2,4-dimethylcyclohex-3-ene- 3-methoxy-3-methylbutan- &gt;0.3 torr group 1-carbaldehyde as example of 1-ol as example of fir
addresses	2	1	2.00	1.000	similarly use of 3,7-dimethylocta-1,6-dien-3-ol and 4-methyl-2-(2-methylpropyl)oxan-4-ol as a single diluent only addresses the middle notes and bottom notes respectively in view of the vapor pressures
loss	2	1	2.00	1.000	in contrast, the slope p and slope q of inventive samples 7 and 8 respectively both have a gentle gradient indicating a reduced perfume weight loss and corresponding reduced scent intensity
buildi	2	1	2.00	1.000	according to a particular embodiment, the compositions mentioned above, comprise more than the sandalwood oil of the invention and enable the perfumer to prepare accords or perfumes possessing the odor tonality of the sandalwood oil of the invention, creating thus new building block for creation pur
improv	2	1	2.00	1.000	perfume ingredients are understood as contributing, modifying, enhancing or improving the olfactory character of the composition but does not contribute to, enhance or improve the arthropod controlling effect of the composition
oxovaleric	2	1	2.00	1.000	by way of illustration, pyruvic acid, phenylpyruvic acid, and 2-oxovaleric acid possess strong aromas are used as fema-gras flavoring components
titrated	2	2	1.00	0.500	pov of consumer product samples as received (before spike with oxidized limonene) amount of consumer pov sample products (mmol/l) titrated notes #1
enriching	2	2	1.00	0.500	however, unexpectedly, the combination of compound of formula (i) and compound of formula (ii) leads to the invention&#39;s composition of matter without any of these above facets while enriching the floral note with an unexpected rosy character
soft-cosmetic	2	1	2.00	1.000	the olfactory properties of selected isomer mixtures of cyclohexadec-5-en-1-one can be described as follows: 37% trans-cyclohexadec-5-en-1-one: 62% cis-cyclohexadec-5-en-1-one (according to the invention): musk-like, erogenous, mild-ambergris-like musk-like, erogenous, mild-animalistic with a soft-c
transparent-floral	2	1	2.00	1.000	the olfactory properties of selected isomer mixtures of cyclohexadec-5-en-1-one can be described as follows: 37% trans-cyclohexadec-5-en-1-one: 62% cis-cyclohexadec-5-en-1-one (according to the invention): musk-like, erogenous, mild-ambergris-like musk-like, erogenous, mild-animalistic with a soft-c
fine-floral	2	1	2.00	1.000	hexyl cinnamic aldehyde, alpha, is an iso-cyclic aldehyde form with a mild, slightly herbal and weakly floral scent and through the addition of 10% (with regard to the total weight of hexyl cinnamic aldehyde) of an isomer mixture of cyclohexadec-8-en-1-one (here: 40% trans-cyclohexadec-8-en-1-one: 6
floral-wooden	2	1	2.00	1.000	dimethyloctadienol, industrially known as “linalool”, with an authentic, floral-wooden smell with a slight citrus influence, gains the elegant-fruity scent impression of the freesia flower through the addition of 10% (with regard to the total weight of dimethyloctadienol) of an isomer mixture of cyc
elegant-fruity	2	1	2.00	1.000	dimethyloctadienol, industrially known as “linalool”, with an authentic, floral-wooden smell with a slight citrus influence, gains the elegant-fruity scent impression of the freesia flower through the addition of 10% (with regard to the total weight of dimethyloctadienol) of an isomer mixture of cyc
ambergris-like	2	1	2.00	1.000	30 rosafen 20 damascenone 1.2 damascone alpha 1.8 benzyl acetate 28 hedione 60 hexyl cinnamic aldehyde alpha 140 parmanyl 3.5 mysore acetate 35 isoraldeine 70 28 isoeugenol methyl ether 3.5 heliotropin 3 agrumex lc 70 ambrocenide 10% in dpg 0.6 ambroxide 1.4 950 the composition has to be described a
mandarins	2	1	2.00	1.000	with an addition of 10% (with regard to the total weight of dodecanal) of an isomer mixture of cyclohexadec-8-en-1-one (here: 40% trans-cyclohexadec-8-en-1-one: 60% cis-cyclohexadec-8-en-1-one) to this single fragrance substance, surprisingly a very positive smell of citrus fruits, especially of man
lilies	2	1	2.00	1.000	alcohols: dimethyloctenol, generally known as “citronellol”, shows a smell of rose blossoms and lilies of the valley in its racemic form
laevo-form	2	1	2.00	1.000	when this molecular single fragrance substance is supplemented with a tenth of its proportion by an isomer mixture of cyclohexadec-8-en-1-one (here: 40% trans-cyclohexadec-8-en-1-one: 60% cis-cyclohexadec-8-en-1-one), then, contrary to expectation, the clear, fresh slightly minty olfactory impressio
accompanied	2	2	1.00	0.500	for example, the odor of guaiacwood has been reported to be accompanied by a “smoked ham”-like odor, conceivably acquired during forced distillation of the guaiacwood in adding mineral acid to the distillation water in order to increase the yield and speed of the distillation (s
correcting	2	2	1.00	0.500	1993, any substance or preparation intended to be placed in contact with the various parts of the human body (epidermis, hair system, nails, lips and genital organs) or with the teeth and the mucous membranes of the oral cavity with a view exclusively or mainly to cleaning them, perfuming them, chan
conventionally	2	2	1.00	0.500	various aromas rich in natural feeling have been required due to rise in the preference of consumers for naturalness, but only conventionally proposed aroma compounds cannot sufficiently comply with the requirement
complements	2	2	1.00	0.500	it blends well with iia, adds volume, and complements the overall odour impression
bass	2	3	0.67	0.500	typical, non-limiting examples of “bass note” fragrance materials useful in the compositions of this disclosure include: 7-methyl-2h-1,5-benzodioxepin-3(4h)-one, (+−)-1-methyl-4-(4-methyl-3-pentenyl)-3-cyclohexene-1-carbaldehyde, (+−)-3-(4-isopropylphenyl)-2-methylpropanal, (+−)-3-(4-methoxyphenyl)-
rosewood	2	2	1.00	0.500	odor description of fragrance feroce: top notes: bergamot, citrus heart notes: floral, jasmin, gardenia base notes: wood, cedarwood, animal, musk, sandalwood odor description fragrance eclat: top notes: pepper, leafy green, mandarin heart notes: jasmin, floral, lily of the valley, rosewood, orris, v
faithfully	2	2	1.00	0.500	the inventors have indeed observed that the scent of these solid ingredients faithfully reproduces the scent of the fresh plant material and that this scent persists for a very long time without alteration
diligently	2	2	1.00	0.500	solution to problem the present inventors have synthesized various compounds and diligently studied the aromas of these compounds and found that a specific ester compound of α-hydroxyisobutyric acid is useful as a fragrance and fragrance ingredient
olfactoric	2	4	0.50	0.500	another object of the present invention has been identifying molecules capable of boosting the sensoric and/or olfactoric impression of other fragrances or perfume oil compositions in low dosages
sensoric	2	2	1.00	0.500	finally it has been observed that said nitrile molecules can improve sensoric and olfactoric impression of many fragrances and perfume oils at low concentrations of for example 0.01 to 0.1 wt.-percent-calculated on the total amount of fragrances in a composition
utilizing	2	2	1.00	0.500	utilizing essential oils for aroma therapy has many benefits
purposes	2	1	2.00	1.000	furthermore, it was found that the compound of formula (ia), in conjunction with one or more further fragrances, is able to produce or to intensify further odor notes that are desirable for perfumery purposes, especially the odor notes creamy (cf
creamier	2	1	2.00	1.000	furthermore, the body lotion with perfume oil b2 displays a more cosmetic top note and a creamier bottom note than the body lotion with perfume oil 1b1; on the whole, addition of 3-[(4r)-4-isopropylcyclohexen-1-yl]propanal results in an odor impression reminiscent of lily of the valley
linked	2	1	2.00	1.000	however, the occurrence of an odor with a note of lily of the valley is not linked to the skeleton structure described above
skeleton	2	1	2.00	1.000	however, the occurrence of an odor with a note of lily of the valley is not linked to the skeleton structure described above
complexi	2	1	2.00	1.000	however, none of these compounds (b) to (f) known from the prior art is able to reproduce the odor impression of the natural lily of the valley blossom in its entire complexity
pinoacetaldehyde	2	1	2.00	1.000	conversely, compounds are also known which, despite structural similarity to the compounds described above, do not have an odor note of lily of the valley, for example the compound pinoacetaldehyde of formula (g), described in patent document u.s
age	2	2	1.00	0.500	body odors are broadly divided into two categories, i.e., the “smell of each body part” (e.g., mouth odor, foot odor, underarm odor, scalp odor) and the “combined smell arising from the body trunk.” the “combined smell arising from the body trunk” is known to change with age, and age-related body od
iron	2	8	0.25	0.500	moreover, the term “1-octen-3-one odor” is intended to mean an odor originating from 1-octen-3-one, as exemplified by a mushroom odor, an iron rust odor, an underarm odor, off-flavors, etc
nonenal	2	3	0.67	0.500	moreover, the offensive odor-suppressing composition containing the above group (a) can suppress age-related body odors and/or underarm odors which are offensive odors composed of at least one selected from the group consisting of a trans-2-nonenal odor and a trans-2-octenal odor
reaches	2	1	2.00	1.000	to provide a desirable olfactory effect, a perfume must have some volatility so that it reaches the smell receptors in the nose of a person
glue	2	2	1.00	0.500	the (s)-okoumal exhibited an amber, woody, fresh cut paris mushrooms, wood glue, slightly pungent scent
denoted	2	2	1.00	0.500	it is well known that fragrances typically comprise a combination of base notes 130 (also denoted bottom notes or base components), middle notes 120 (also denoted middle components), and top notes 110 (also denoted top components)
produ	2	4	0.50	0.500	illustrative specification options for the cosmetic product example comprise color of the product, scent of the product, scent level of the product, texture of the product, addition of glitter or similar additive to the product, addition of micro beads to the product, or addition of one or more supp
placed	2	2	1.00	0.500	the top notes 110 , on the other hand, typically dominate the smell of the fragrance when the fragrance is first placed on the skin of an individual
presents	2	3	0.67	0.500	[0007] as for 1-methoxy-3-hexanethiol, which also obeys formula (a), it is said to develop an odor of the sulfury type, but its fragrance also presents very natural green and herbaceous odor notes, which can be described as being reminiscent of the odor of the clary-sage
clary	2	2	1.00	0.500	[0154] the composition containing the 1-methoxy-3-hexanethiol described in ep 0 982 295 presented a clear scent of the clary sage flower type
paprika	2	3	0.67	0.500	[0017] examples [0018] material desired flmm) carrier citrus oils 50 to 2000 citrus oil oleoresin paprika 500 to 10000 oleoresin paprika aroma chemicals 10 to 100 aroma chemical seasoning blends 500 to 2000 starch or oleo, or liquid
sandal-like	2	2	1.00	0.500	the above illustrated configurational isomers of the inventive compound respectively possess a very intense aroma, wherein however compounds with the configurational feature (e,1r,2r,6r,7r) exhibit a significant sandal-like aroma, which in some cases is colored by side aspects, and wherein the confi
analogues	2	2	1.00	0.500	[0011] the character and the quality of the odor properties of the invention compounds are all the more surprising and unexpected in view of the odor of their prior art analogues
alpha	2	2	1.00	0.500	this effect is mainly due to the fact that, when compared with the mentioned isomers, the trans methyl ester presents a more pure damascone-rosy connotation, which is almost devoid of the typical herbaceous-thujonic and red-fruity, green apple notes of said gamma and alpha isomer
labdanum	2	2	1.00	0.500	[0078] example 4 perfume composition 5 and 6 [0079] table 4 parts by weight parts by weight name composition 5 composition 6 clary sage oil synthetic 100 100 davana oil 10 10 benzyl salicylate 100 100 undecavertol ® (3) 5 5 iris oil synthetic 5 5 irone 2 2 coumarin 80 80 nectarol ® (5) 2 2 cedarwood
